row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
100934,2016,001,Aitkin,COMMERCIAL,3,45 - 64 years,F,154,Other,801,379,"1,658","$70,962.35",$187.24,$123.30,"$47,061.92",$124.17,$64.70,"$23,900.43",$63.06,$0.00
101582,2016,003,Anoka,MEDICARE,2,19 - 44 years,F,442,Emergency department,"7,322","1,918","5,281","$342,297.30",$178.47,$158.89,"$270,154.43",$140.85,$122.26,"$72,142.87",$37.61,$32.80
102182,2016,007,Beltrami,COMMERCIAL,4,65 - 74 years,F,11,Independent Lab,134,50,125,"$1,806.73",$36.13,$0.00,"$1,440.12",$28.80,$0.00,$366.61,$7.33,$0.00
103166,2016,011,Big Stone,MEDICARE,4,65 - 74 years,M,41,DME (Durable Medical Equipment),412,237,475,"$28,022.92",$118.24,$126.78,"$23,252.44",$98.11,$92.10,"$4,770.48",$20.13,$6.96
103934,2016,015,Brown,MEDICARE,4,65 - 74 years,F,71,Ambulance,517,221,814,"$69,636.22",$315.10,$243.04,"$62,719.67",$283.80,$190.72,"$6,916.55",$31.30,$0.00
104702,2016,019,Carver,MEDICARE,2,19 - 44 years,F,28,Hospital Inpatient Professional Services,514,162,314,"$40,240.44",$248.40,$174.39,"$32,011.38",$197.60,$137.22,"$8,229.06",$50.80,$35.44
105590,2016,025,Chisago,COMMERCIAL,1,18 years and under,M,66,DME (Durable Medical Equipment),279,132,709,"$54,541.47",$413.19,$153.78,"$47,949.31",$363.25,$135.42,"$6,592.16",$49.94,$0.00
106478,2016,029,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,30,Hospital Inpatient,184,33,263,"$111,551.43","$3,380.35","$1,955.74","$111,551.43","$3,380.35","$1,955.74",$0.00,$0.00,$0.00
107510,2016,035,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,81,Independent Lab,307,118,916,"$10,927.51",$92.61,$79.18,"$10,927.51",$92.61,$79.18,$0.00,$0.00,$0.00
108278,2016,039,Dodge,COMMERCIAL,3,45 - 64 years,M,153,Emergency department,725,231,"1,717","$409,180.81","$1,771.35","$1,543.18","$334,533.76","$1,448.20","$1,210.79","$74,647.05",$323.15,$75.00
109262,2016,043,Faribault,MEDICARE,3,45 - 64 years,F,210,Clinic/Office,"5,359","1,770","2,437","$321,150.36",$181.44,$91.00,"$271,405.55",$153.34,$71.11,"$49,744.81",$28.10,$14.48
110126,2016,047,Freeborn,MEDICARE,5,75 years and older,M,27,Outpatient Other,"2,327",185,276,"$208,020.48","$1,124.44",$241.83,"$168,512.51",$910.88,$192.68,"$39,507.97",$213.56,$0.00
101418,2016,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,975,Ambulance,"39,485","14,472","10,612","$877,229.75",$60.62,$34.38,"$877,229.75",$60.62,$34.38,$0.00,$0.00,$0.00
102090,2016,005,Becker,MEDICARE,5,75 years and older,M,30,Outpatient Other,"3,395",204,338,"$173,309.33",$849.56,$92.44,"$147,911.87",$725.06,$77.89,"$25,397.46",$124.50,$0.00
102858,2016,009,Benton,MEDICARE,4,65 - 74 years,M,811,Clinic/Office,"20,963","7,262","9,653","$1,072,825.39",$147.73,$98.38,"$961,620.87",$132.42,$82.97,"$111,204.52",$15.31,$5.18
103962,2016,015,Brown,MEDICARE,4,65 - 74 years,M,389,Other,"2,137",896,"4,656","$162,676.36",$181.56,$76.54,"$144,477.94",$161.25,$66.92,"$18,198.42",$20.31,$0.00
104778,2016,019,Carver,MEDICARE,4,65 - 74 years,M,321,Independent Lab,"1,599",561,"3,844","$47,559.96",$84.78,$30.51,"$46,492.57",$82.87,$30.51,"$1,067.39",$1.90,$0.00
105714,2016,025,Chisago,COMMERCIAL,5,75 years and older,M,29,Hospital Outpatient,802,271,342,"$55,357.11",$204.27,$24.85,"$49,109.68",$181.22,$21.92,"$6,247.43",$23.05,$0.00
106458,2016,029,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,33,Ambulance,336,256,388,"$37,071.14",$144.81,$16.00,"$37,071.14",$144.81,$16.00,$0.00,$0.00,$0.00
107682,2016,035,Crow Wing,MEDICARE,3,45 - 64 years,F,183,Hospital Inpatient,"4,365",331,"2,108","$3,560,635.87","$10,757.21","$10,031.74","$3,302,528.35","$9,977.43","$9,216.77","$258,107.52",$779.78,"$1,288.00"
108354,2016,039,Dodge,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,33,Ambulance,367,288,370,"$17,681.89",$61.40,$10.48,"$17,681.89",$61.40,$10.48,$0.00,$0.00,$0.00
109098,2016,043,Faribault,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,145,Emergency department,577,238,"1,631","$65,980.45",$277.23,$205.90,"$65,980.45",$277.23,$205.90,$0.00,$0.00,$0.00
110130,2016,049,Goodhue,COMMERCIAL,1,18 years and under,F,16,DME (Durable Medical Equipment),28,24,189,"$2,207.90",$92.00,$20.08,"$1,845.07",$76.88,$14.69,$362.83,$15.12,$3.67
111018,2016,053,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,"2,727",Hospital Inpatient Professional Services,"23,525","13,906","22,986","$2,413,171.07",$173.53,$89.71,"$2,412,502.69",$173.49,$89.71,$668.38,$0.05,$0.00
101282,2016,003,Anoka,COMMERCIAL,2,19 - 44 years,F,"2,640",Emergency department,"12,379","4,114","28,725","$4,156,162.00","$1,010.25",$902.78,"$2,956,460.98",$718.63,$602.12,"$1,199,701.02",$291.61,$89.20
102026,2016,005,Becker,MEDICARE,3,45 - 64 years,M,149,Independent Lab,"1,085",393,"1,744","$19,739.02",$50.23,$24.56,"$18,831.65",$47.92,$24.48,$907.37,$2.31,$0.00
101442,2016,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,"1,857",Hospital Inpatient Professional Services,"13,492","6,902","19,685","$2,084,712.18",$302.04,$93.28,"$2,083,355.90",$301.85,$93.28,"$1,356.28",$0.20,$0.00
102162,2016,007,Beltrami,COMMERCIAL,3,45 - 64 years,M,156,Emergency department,748,246,"1,560","$242,921.89",$987.49,$688.34,"$183,603.00",$746.35,$397.32,"$59,318.89",$241.13,$30.00
102882,2016,009,Benton,MEDICARE,5,75 years and older,F,199,Inpatient Non-acute,"4,710",705,"2,309","$1,627,045.85","$2,307.87",$244.89,"$1,465,170.96","$2,078.26",$233.51,"$161,874.89",$229.61,$0.00
103986,2016,015,Brown,MEDICARE,5,75 years and older,M,61,Hospice,"2,628",179,528,"$600,953.02","$3,357.28","$4,056.96","$600,953.02","$3,357.28","$4,056.96",$0.00,$0.00,$0.00
104802,2016,019,Carver,MEDICARE,5,75 years and older,M,647,Emergency department,"4,940","1,335","7,400","$332,221.58",$248.86,$181.67,"$301,199.13",$225.62,$159.79,"$31,022.45",$23.24,$0.00
105738,2016,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,102,DME (Durable Medical Equipment),475,202,"1,097","$66,724.47",$330.32,$160.57,"$66,724.47",$330.32,$160.57,$0.00,$0.00,$0.00
106530,2016,029,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,49,Ambulance,671,391,534,"$73,285.35",$187.43,$45.10,"$73,285.35",$187.43,$45.10,$0.00,$0.00,$0.00
107706,2016,035,Crow Wing,MEDICARE,4,65 - 74 years,F,106,Ambulance,"1,670",520,"1,216","$137,839.26",$265.08,$52.64,"$131,181.82",$252.27,$52.64,"$6,657.44",$12.80,$0.00
108378,2016,039,Dodge,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,274,Other,"6,462","4,617","3,001","$1,495,184.25",$323.84,$191.13,"$1,494,612.80",$323.72,$191.13,$571.45,$0.12,$0.00
109146,2016,043,Faribault,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,243,Hospital Outpatient,"3,968","1,029","2,517","$300,810.03",$292.33,$129.15,"$298,460.67",$290.05,$127.76,"$2,349.36",$2.28,$0.00
110154,2016,049,Goodhue,COMMERCIAL,2,19 - 44 years,F,144,DME (Durable Medical Equipment),235,197,"1,658","$43,404.77",$220.33,$174.96,"$38,846.43",$197.19,$174.96,"$4,558.34",$23.14,$0.00
111042,2016,053,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,"7,565",Ambulance,"298,413","85,884","82,420","$5,887,635.13",$68.55,$41.60,"$5,886,880.59",$68.54,$41.60,$754.54,$0.01,$0.00
111906,2016,057,Hubbard,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,23,Clinic/Office,301,199,265,"$7,712.16",$38.75,$32.40,"$7,706.21",$38.72,$32.40,$5.95,$0.03,$0.00
112626,2016,061,Itasca,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,63,Ambulatory Surgery,279,77,740,"$118,986.61","$1,545.28","$1,302.26","$118,214.71","$1,535.26","$1,302.26",$771.90,$10.02,$0.00
113514,2016,065,Kanabec,MEDICARE,4,65 - 74 years,M,79,Hospital Inpatient Professional Services,"1,552",503,902,"$189,127.48",$376.00,$183.64,"$166,975.96",$331.96,$155.67,"$22,151.52",$44.04,$0.00
114426,2016,071,Koochiching,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,23,Inpatient Non-acute,103,64,199,"$126,535.67","$1,977.12","$1,489.59","$126,535.67","$1,977.12","$1,489.59",$0.00,$0.00,$0.00
115530,2016,077,Lake of the Woods,MEDICARE,4,65 - 74 years,F,31,DME (Durable Medical Equipment),258,154,368,"$15,803.61",$102.62,$68.57,"$14,692.78",$95.41,$60.45,"$1,110.83",$7.21,$0.00
116634,2016,083,Lyon,MEDICARE,5,75 years and older,F,239,Hospital Inpatient,"5,636",408,"2,677","$4,453,434.88","$10,915.28","$10,983.03","$4,157,271.20","$10,189.39","$10,283.81","$296,163.68",$725.89,"$1,288.00"
117474,2016,089,Marshall,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,112,Emergency department,412,170,"1,243","$40,203.65",$236.49,$185.03,"$40,203.65",$236.49,$185.03,$0.00,$0.00,$0.00
118434,2016,095,Mille Lacs,COMMERCIAL,1,18 years and under,M,427,Hospital Outpatient,"3,917","1,118","4,597","$911,412.33",$815.22,$232.78,"$753,424.37",$673.90,$153.99,"$157,987.96",$141.31,$0.00
119394,2016,099,Mower,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,148,Ambulance,"4,841","1,798","1,689","$199,499.92",$110.96,$48.58,"$199,487.07",$110.95,$48.58,$12.85,$0.01,$0.00
120378,2016,105,Nobles,COMMERCIAL,3,45 - 64 years,F,31,Hospital Inpatient Professional Services,397,122,279,"$237,482.94","$1,946.58",$429.93,"$208,618.00","$1,709.98",$311.03,"$28,864.94",$236.60,$0.00
121218,2016,109,Olmsted,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,394,Outpatient Other,"8,803","7,687","3,823","$852,555.05",$110.91,$104.04,"$852,555.05",$110.91,$104.04,$0.00,$0.00,$0.00
122130,2016,113,Pennington,MEDICARE,3,45 - 64 years,M,28,Hospital Inpatient,861,58,329,"$585,839.24","$10,100.68","$9,630.97","$544,623.24","$9,390.06","$9,331.30","$41,216.00",$710.62,"$1,288.00"
122946,2016,119,Polk,COMMERCIAL,2,19 - 44 years,F,129,Emergency department,480,221,"1,055","$117,238.46",$530.49,$394.03,"$75,250.63",$340.50,$178.58,"$41,987.83",$189.99,$25.00
123858,2016,123,Ramsey,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,"15,091",Other,"635,262","423,277","162,523","$76,793,476.56",$181.43,$92.54,"$76,737,455.66",$181.29,$92.48,"$56,020.90",$0.13,$0.00
101036,2016,001,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,60,Independent Lab,457,116,660,"$15,366.51",$132.47,$81.64,"$15,336.86",$132.21,$81.64,$29.65,$0.26,$0.00
101684,2016,003,Anoka,MEDICARE,5,75 years and older,F,"1,948",Inpatient Non-acute Professional Services,"25,336","19,568","21,485","$2,198,034.45",$112.33,$106.66,"$2,000,923.74",$102.25,$90.64,"$197,110.71",$10.07,$0.00
